date,company,values
7/11/2015,Gett Taxi,0.01335645
7/18/2015,Gett Taxi,0.014470184
7/25/2015,Gett Taxi,0.014183474
8/1/2015,Gett Taxi,0.013707701
8/8/2015,Gett Taxi,0.013458045
8/15/2015,Gett Taxi,0.012493173
8/22/2015,Gett Taxi,0.013088276
8/29/2015,Gett Taxi,0.011430164
9/5/2015,Gett Taxi,0.012549631
9/12/2015,Gett Taxi,0.012824187
9/19/2015,Gett Taxi,0.012370983
9/26/2015,Gett Taxi,0.011637388
