date,company,values
4/18/2015,Meru,0.03333782
4/25/2015,Meru,0.035014255
5/2/2015,Meru,0.036764053
5/9/2015,Meru,0.035938824
5/16/2015,Meru,0.036790046
5/23/2015,Meru,0.035655243
5/30/2015,Meru,0.03412954
6/6/2015,Meru,0.034654576
6/13/2015,Meru,0.03299973
6/20/2015,Meru,0.031887871
6/27/2015,Meru,0.030604787
7/4/2015,Meru,0.028806584
7/11/2015,Meru,0.028342491
7/18/2015,Meru,0.027651879
7/25/2015,Meru,0.029871977
8/1/2015,Meru,0.030040332
8/8/2015,Meru,0.027936093
8/15/2015,Meru,0.027617675
8/22/2015,Meru,0.026802586
8/29/2015,Meru,0.027310274
9/5/2015,Meru,0.02635749
9/12/2015,Meru,0.02597333
9/19/2015,Meru,0.025001386
9/26/2015,Meru,0.024366911
